event_id,user_id,event_timestamp,event_type,platform,workout_type,session_id
1,1,2025-12-23 22:27:42,session_start,iOS,,10
2,1,2025-12-23 22:32:42,workout_start,iOS,cardio,10
3,1,2025-12-23 23:00:42,workout_complete,iOS,cardio,10
4,1,2025-12-26 15:55:35,session_start,iOS,,40
5,1,2025-12-26 16:04:35,workout_start,iOS,strength,40
6,1,2025-12-26 16:30:35,workout_complete,iOS,strength,40
7,2,2025-12-09 20:05:42,session_start,Android,,70
8,2,2025-12-09 20:11:42,workout_start,Android,stretching,70
9,2,2025-12-09 20:38:42,workout_complete,Android,stretching,70
10,3,2025-12-26 06:16:11,session_start,Android,,100
11,3,2025-12-27 08:10:26,session_start,Android,,110
12,3,2025-12-27 08:21:26,workout_start,Android,hiit,110
13,3,2025-12-27 08:56:26,workout_complete,Android,hiit,110
14,4,2025-12-20 12:15:22,session_start,Android,,140
15,4,2025-12-21 10:05:02,session_start,Android,,150
16,4,2025-12-21 10:05:04,session_init_error,Android,,150
17,5,2025-11-11 17:47:57,session_start,iOS,,170
18,5,2025-11-11 17:58:57,workout_start,iOS,yoga,170
19,5,2025-11-11 18:57:57,workout_complete,iOS,yoga,170
20,6,2025-12-30 14:52:21,session_start,Android,,200
21,7,2025-12-22 19:37:51,session_start,iOS,,210
22,7,2025-12-22 19:47:51,workout_start,iOS,cardio,210
23,7,2025-12-22 20:02:51,workout_complete,iOS,cardio,210
24,10,2025-12-06 18:30:16,session_start,Android,,240
25,10,2025-12-06 18:37:16,workout_start,Android,hiit,240
26,10,2025-12-06 18:55:16,workout_complete,Android,hiit,240
27,10,2025-12-07 17:28:00,session_start,Android,,270
28,10,2025-12-07 17:31:00,workout_start,Android,strength,270
29,11,2025-12-01 20:58:35,session_start,iOS,,290
30,11,2025-12-01 21:07:35,workout_start,iOS,cardio,290
31,11,2025-12-01 21:51:35,workout_complete,iOS,cardio,290
32,13,2025-12-17 20:19:06,session_start,iOS,,320
33,13,2025-12-17 20:21:06,workout_start,iOS,cardio,320
34,13,2025-12-17 21:22:06,workout_complete,iOS,cardio,320
35,14,2025-12-25 06:46:43,session_start,iOS,,350
36,14,2025-12-25 06:55:43,workout_start,iOS,cardio,350
37,14,2025-12-25 07:40:43,workout_complete,iOS,cardio,350
38,14,2025-12-28 20:41:52,session_start,iOS,,380
39,14,2025-12-28 20:46:52,workout_start,iOS,hiit,380
40,14,2025-12-28 21:21:52,workout_complete,iOS,hiit,380
41,15,2025-12-05 21:05:14,session_start,iOS,,410
42,15,2025-12-06 16:08:52,session_start,iOS,,420
