user_id,started_at,completed_at,completed,steps_completed,goal
1,2025-12-23 13:32:49,,0,2,muscle_gain
2,2025-12-05 16:04:36,2025-12-05 16:09:44,1,5,endurance
3,2025-12-26 07:15:21,2025-12-26 07:19:01,1,5,endurance
4,2025-12-20 23:53:03,,0,3,general_fitness
5,2025-11-08 14:34:18,2025-11-08 14:38:07,1,5,weight_loss
6,2025-12-30 20:09:19,2025-12-30 20:15:29,1,5,muscle_gain
7,2025-12-22 13:48:34,2025-12-22 13:53:52,1,5,weight_loss
8,2025-12-23 13:49:34,,0,2,weight_loss
10,2025-12-06 22:32:15,2025-12-06 22:37:50,1,5,general_fitness
13,2025-12-17 11:14:22,2025-12-17 11:22:13,1,5,general_fitness
15,2025-12-05 00:27:12,2025-12-05 00:31:51,1,5,weight_loss
16,2025-11-19 16:49:20,2025-11-19 16:56:07,1,5,endurance
17,2025-12-12 10:35:01,2025-12-12 10:42:22,1,5,flexibility
18,2025-11-06 18:08:25,2025-11-06 18:16:03,1,5,general_fitness
21,2025-12-22 00:12:10,2025-12-22 00:16:56,1,5,weight_loss
22,2025-11-29 02:15:45,2025-11-29 02:22:46,1,5,endurance
23,2025-12-30 05:11:55,2025-12-30 05:18:35,1,5,weight_loss
27,2025-12-06 18:43:34,,0,2,weight_loss
28,2025-11-04 06:11:41,2025-11-04 06:17:46,1,5,general_fitness
30,2025-12-19 13:53:25,,0,4,weight_loss
32,2025-12-30 04:40:44,2025-12-30 04:46:44,1,5,general_fitness
33,2025-11-27 03:31:40,,0,1,general_fitness
35,2025-12-06 13:02:52,2025-12-06 13:07:54,1,5,muscle_gain
37,2025-11-11 11:46:28,2025-11-11 11:52:42,1,5,endurance
39,2025-11-19 16:36:27,2025-11-19 16:40:32,1,5,general_fitness
40,2025-12-18 20:59:41,2025-12-18 21:05:54,1,5,weight_loss
42,2025-12-25 01:07:18,2025-12-25 01:12:25,1,5,muscle_gain
44,2025-11-26 08:30:17,2025-11-26 08:33:52,1,5,weight_loss
45,2025-12-25 18:02:09,2025-12-25 18:07:52,1,5,general_fitness
46,2025-12-24 21:16:48,2025-12-24 21:23:49,1,5,general_fitness
47,2025-12-02 01:59:49,2025-12-02 02:02:55,1,5,muscle_gain
48,2025-11-24 09:57:08,,0,2,endurance
49,2025-12-19 08:31:14,2025-12-19 08:36:19,1,5,weight_loss
50,2025-11-12 15:06:28,2025-11-12 15:12:42,1,5,weight_loss
51,2025-11-16 03:59:01,,0,4,general_fitness
52,2025-11-01 12:24:53,,0,3,general_fitness
53,2025-12-23 10:18:54,2025-12-23 10:26:23,1,5,flexibility
54,2025-12-18 14:28:17,,0,2,muscle_gain
55,2025-12-20 01:38:43,,0,4,general_fitness
56,2025-12-23 04:44:09,2025-12-23 04:50:25,1,5,flexibility
57,2025-12-06 04:05:58,2025-12-06 04:10:04,1,5,muscle_gain
59,2025-11-12 17:58:13,2025-11-12 18:05:10,1,5,endurance
60,2025-11-09 19:18:07,,0,3,weight_loss
61,2025-12-18 09:06:55,2025-12-18 09:11:41,1,5,muscle_gain
62,2025-12-07 10:19:30,2025-12-07 10:24:48,1,5,general_fitness
65,2025-12-16 16:56:18,2025-12-16 17:03:44,1,5,endurance
66,2025-12-12 22:58:53,2025-12-12 23:05:16,1,5,muscle_gain
69,2025-11-03 13:37:37,2025-11-03 13:44:23,1,5,endurance
70,2025-12-05 12:26:15,2025-12-05 12:32:13,1,5,endurance
71,2025-11-18 17:08:23,2025-11-18 17:15:18,1,5,general_fitness
72,2025-12-03 02:47:13,2025-12-03 02:54:37,1,5,general_fitness
73,2025-12-26 12:19:05,2025-12-26 12:23:43,1,5,weight_loss
74,2025-11-20 04:29:22,,0,3,flexibility
75,2025-11-05 09:06:09,2025-11-05 09:09:47,1,5,muscle_gain
76,2025-11-23 05:05:56,,0,3,endurance
78,2025-12-18 08:53:44,2025-12-18 08:56:49,1,5,flexibility
79,2025-12-12 17:12:07,2025-12-12 17:18:51,1,5,weight_loss
80,2025-12-23 15:46:26,2025-12-23 15:50:28,1,5,muscle_gain
81,2025-12-18 06:32:11,2025-12-18 06:37:48,1,5,muscle_gain
82,2025-12-03 04:31:45,,0,1,endurance
83,2025-12-24 06:47:53,2025-12-24 06:55:48,1,5,weight_loss
87,2025-12-21 03:16:42,2025-12-21 03:24:12,1,5,endurance
90,2025-12-08 17:44:26,,0,2,muscle_gain
92,2025-12-20 15:09:19,2025-12-20 15:14:04,1,5,muscle_gain
94,2025-12-01 21:33:44,2025-12-01 21:41:19,1,5,weight_loss
96,2025-12-16 21:48:10,,0,1,weight_loss
97,2025-11-30 04:51:51,2025-11-30 04:55:53,1,5,weight_loss
98,2025-11-08 12:17:31,2025-11-08 12:21:29,1,5,endurance
100,2025-12-30 23:56:44,,0,3,muscle_gain
101,2025-12-28 07:46:54,,0,1,muscle_gain
102,2025-12-20 00:34:22,,0,3,endurance
104,2025-12-30 08:57:50,2025-12-30 09:05:15,1,5,weight_loss
105,2025-12-23 21:30:37,2025-12-23 21:36:14,1,5,weight_loss
107,2025-12-05 05:36:17,,0,4,general_fitness
109,2025-11-08 14:28:32,2025-11-08 14:32:31,1,5,weight_loss
112,2025-11-17 17:54:35,2025-11-17 18:01:05,1,5,general_fitness
113,2025-11-25 05:32:41,2025-11-25 05:38:58,1,5,endurance
114,2025-12-13 04:21:29,,0,3,weight_loss
116,2025-12-26 04:45:21,2025-12-26 04:49:37,1,5,muscle_gain
117,2025-12-22 21:45:45,2025-12-22 21:51:36,1,5,muscle_gain
118,2025-12-21 16:43:05,2025-12-21 16:48:03,1,5,weight_loss
119,2025-12-04 12:20:07,2025-12-04 12:24:35,1,5,weight_loss
120,2025-12-16 05:25:07,2025-12-16 05:28:14,1,5,general_fitness
121,2025-12-13 02:01:06,2025-12-13 02:04:55,1,5,weight_loss
122,2025-12-17 21:41:52,2025-12-17 21:46:38,1,5,flexibility
123,2025-11-07 11:25:09,,0,4,muscle_gain
126,2025-12-08 00:08:24,,0,3,muscle_gain
127,2025-11-27 06:30:32,,0,2,weight_loss
129,2025-11-09 15:09:22,,0,2,weight_loss
130,2025-12-13 19:51:04,,0,4,weight_loss
131,2025-11-14 00:24:57,,0,4,general_fitness
134,2025-11-29 01:44:39,2025-11-29 01:47:48,1,5,weight_loss
135,2025-12-14 00:48:00,2025-12-14 00:54:37,1,5,endurance
136,2025-11-02 20:02:05,2025-11-02 20:08:07,1,5,general_fitness
137,2025-12-30 08:09:55,,0,4,flexibility
139,2025-12-23 12:06:58,2025-12-23 12:10:46,1,5,muscle_gain
141,2025-12-07 10:37:22,2025-12-07 10:42:42,1,5,muscle_gain
142,2025-12-08 04:09:23,,0,2,weight_loss
143,2025-12-29 20:59:18,2025-12-29 21:06:32,1,5,muscle_gain
144,2025-12-13 08:53:31,2025-12-13 09:00:15,1,5,weight_loss
145,2025-12-07 08:31:09,,0,4,general_fitness
146,2025-11-22 11:02:39,,0,4,muscle_gain
147,2025-11-28 09:29:27,2025-11-28 09:32:34,1,5,endurance
150,2025-11-02 17:43:22,2025-11-02 17:49:36,1,5,endurance
151,2025-12-25 04:49:26,2025-12-25 04:54:50,1,5,muscle_gain
152,2025-12-27 13:46:56,2025-12-27 13:52:18,1,5,general_fitness
154,2025-12-12 03:23:53,,0,2,flexibility
155,2025-11-09 22:24:09,2025-11-09 22:30:34,1,5,muscle_gain
156,2025-12-18 12:28:32,,0,1,weight_loss
157,2025-11-23 00:58:49,2025-11-23 01:02:16,1,5,general_fitness
158,2025-12-18 14:53:48,2025-12-18 15:01:01,1,5,weight_loss
159,2025-12-21 09:20:44,,0,2,weight_loss
160,2025-12-22 21:57:42,2025-12-22 22:04:33,1,5,muscle_gain
161,2025-11-09 05:09:46,2025-11-09 05:13:57,1,5,weight_loss
162,2025-12-28 22:15:45,,0,3,muscle_gain
163,2025-11-19 20:49:00,2025-11-19 20:53:03,1,5,muscle_gain
164,2025-11-03 03:02:48,2025-11-03 03:10:40,1,5,general_fitness
165,2025-12-12 13:12:54,2025-12-12 13:20:47,1,5,muscle_gain
166,2025-12-01 21:54:51,2025-12-01 22:00:08,1,5,endurance
170,2025-12-30 11:00:53,2025-12-30 11:04:59,1,5,weight_loss
172,2025-12-09 16:16:09,2025-12-09 16:22:08,1,5,weight_loss
173,2025-11-21 00:22:51,2025-11-21 00:30:33,1,5,weight_loss
174,2025-12-29 12:28:11,2025-12-29 12:32:20,1,5,muscle_gain
175,2025-11-14 05:16:55,2025-11-14 05:24:15,1,5,weight_loss
176,2025-11-04 08:18:12,2025-11-04 08:25:45,1,5,flexibility
177,2025-12-05 12:42:26,2025-12-05 12:48:36,1,5,weight_loss
178,2025-12-31 18:41:06,2025-12-31 18:47:13,1,5,general_fitness
180,2025-12-21 18:08:48,2025-12-21 18:16:27,1,5,weight_loss
181,2025-12-27 13:29:46,2025-12-27 13:35:21,1,5,weight_loss
182,2025-12-27 02:52:52,2025-12-27 02:58:46,1,5,weight_loss
184,2025-11-26 09:27:07,,0,2,general_fitness
185,2025-12-22 00:49:52,2025-12-22 00:57:14,1,5,endurance
186,2025-12-18 00:58:22,,0,3,weight_loss
187,2025-12-01 13:45:47,2025-12-01 13:50:05,1,5,weight_loss
188,2025-11-08 23:54:54,2025-11-09 00:01:27,1,5,muscle_gain
189,2025-12-21 07:08:05,2025-12-21 07:12:47,1,5,general_fitness
190,2025-11-22 12:00:35,2025-11-22 12:06:21,1,5,weight_loss
191,2025-12-29 17:28:11,,0,1,muscle_gain
193,2025-11-10 08:45:17,2025-11-10 08:51:50,1,5,endurance
196,2025-11-15 05:18:50,2025-11-15 05:23:50,1,5,general_fitness
197,2025-12-14 18:13:47,2025-12-14 18:19:03,1,5,weight_loss
198,2025-12-27 19:04:52,2025-12-27 19:10:01,1,5,weight_loss
200,2025-11-26 00:50:04,2025-11-26 00:56:55,1,5,weight_loss
203,2025-12-08 19:01:32,2025-12-08 19:04:48,1,5,weight_loss
206,2025-11-19 08:50:03,2025-11-19 08:53:55,1,5,weight_loss
207,2025-11-11 06:11:10,2025-11-11 06:18:26,1,5,general_fitness
209,2025-11-10 21:27:57,2025-11-10 21:32:32,1,5,general_fitness
210,2025-12-09 22:33:55,2025-12-09 22:41:54,1,5,weight_loss
211,2025-12-20 05:26:24,,0,3,general_fitness
212,2025-12-13 21:42:03,2025-12-13 21:47:27,1,5,general_fitness
213,2025-11-16 05:53:37,2025-11-16 05:59:44,1,5,general_fitness
214,2025-12-24 09:24:00,2025-12-24 09:31:22,1,5,flexibility
215,2025-12-20 19:48:08,,0,4,muscle_gain
216,2025-12-21 20:41:13,2025-12-21 20:44:58,1,5,weight_loss
217,2025-11-11 23:23:31,2025-11-11 23:29:45,1,5,weight_loss
218,2025-11-10 15:58:33,2025-11-10 16:01:53,1,5,muscle_gain
219,2025-12-28 06:56:49,2025-12-28 07:03:04,1,5,weight_loss
220,2025-12-02 03:48:16,,0,4,weight_loss
221,2025-11-25 06:28:10,2025-11-25 06:35:33,1,5,weight_loss
222,2025-12-07 19:12:48,,0,4,weight_loss
224,2025-12-30 12:55:08,,0,2,weight_loss
227,2025-11-02 12:56:01,2025-11-02 13:00:52,1,5,muscle_gain
229,2025-12-16 05:07:45,2025-12-16 05:12:37,1,5,flexibility
230,2025-11-09 10:39:10,,0,4,general_fitness
231,2025-11-12 07:14:56,,0,3,weight_loss
233,2025-12-30 07:30:29,,0,2,general_fitness
234,2025-12-14 19:06:39,2025-12-14 19:10:36,1,5,muscle_gain
237,2025-12-06 17:09:41,2025-12-06 17:14:10,1,5,weight_loss
239,2025-11-02 17:26:14,2025-11-02 17:30:39,1,5,endurance
241,2025-12-25 19:50:39,,0,3,endurance
242,2025-12-23 09:50:53,2025-12-23 09:54:56,1,5,weight_loss
243,2025-11-19 14:39:46,,0,3,general_fitness
245,2025-12-14 12:50:31,2025-12-14 12:57:46,1,5,general_fitness
246,2025-12-26 05:39:26,,0,4,general_fitness
247,2025-12-14 21:41:33,,0,3,muscle_gain
248,2025-12-03 21:58:03,,0,4,weight_loss
249,2025-12-01 11:41:36,,0,2,general_fitness
251,2025-12-17 04:21:13,2025-12-17 04:26:49,1,5,weight_loss
252,2025-12-26 14:13:53,2025-12-26 14:17:39,1,5,flexibility
253,2025-12-06 05:05:08,,0,3,general_fitness
256,2025-12-21 14:36:42,2025-12-21 14:40:22,1,5,weight_loss
258,2025-11-09 05:40:17,,0,3,weight_loss
260,2025-12-14 15:26:02,2025-12-14 15:29:10,1,5,weight_loss
261,2025-11-12 03:37:21,2025-11-12 03:42:32,1,5,weight_loss
263,2025-11-26 12:34:55,,0,2,endurance
264,2025-11-12 01:51:58,,0,3,muscle_gain
265,2025-12-28 05:47:23,,0,1,endurance
266,2025-11-14 09:42:26,2025-11-14 09:49:27,1,5,weight_loss
267,2025-11-23 21:41:30,2025-11-23 21:48:36,1,5,muscle_gain
270,2025-11-02 03:19:54,,0,3,endurance
